"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","XY_POINT","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
16500929,"2013-09-01 12:30:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","6400 NORWALK BLVD","WHITTIER",,"6541169.29820562,1817468.71974461","913-06534-1575","1575","06534","CA0190015","PICO RIVERA","N"
16499925,"2013-09-01 12:30:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","5400 SANTA ANITA AVE","TEMPLE CITY","91780","6552493.34141485,1859704.46721926","913-08371-0525","0525","08371","CA0190005","TEMPLE","N"
16500898,"2013-09-01 12:30:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","8500 MELROSE AVE","WEST HOLLYWOOD",,"6447665.16002483,1852378.19175054","913-05101-0972","0972","05101","CA0190009","WEST HOLLYWOOD","N"
16500584,"2013-09-01 13:00:00","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","5400 SANTA ANITA AVE","TEMPLE CITY","91780","6552472.80372627,1859823.4646847","913-08397-0525","0525","08397","CA0190005","TEMPLE","N"
16499642,"2013-09-01 13:15:00","074","BURGLARY, OTHER STRUCTURE: Day, Entry By Force","15900 BELLFLOWER BLVD","BELLFLOWER",,"6523597.99988568,1782109.64104411","913-17020-1332","1332","17020","CA0190013","LAKEWOOD","N"
16518213,"2013-09-01 13:30:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","8300 WASHINGTON BLVD","PICO RIVERA","90660","6529439.06698544,1817839.76945278","913-06976-1516","1516","06976","CA0190015","PICO RIVERA","N"
16504131,"2013-09-01 14:00:00","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","38700 31ST ST E","PALMDALE","93550","6539188.95496595,2035588.65514837","913-12708-2608","2608","12708","CA01900W9","PALMDALE","N"
16499794,"2013-09-01 14:30:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","5400 SANTA ANITA AVE","TEMPLE CITY","91780","6552493.34141485,1859704.46721926","913-08365-0525","0525","08365","CA0190005","TEMPLE","N"
16515384,"2013-09-01 14:37:30","074","BURGLARY, OTHER STRUCTURE: Day, Entry By Force","11100 WATTS AVE","LOS ANGELES","90059","6492582.74500573,1798570.16862205","913-80469-2135","2135","80469","CA01900V3","CENTURY","N"
16499922,"2013-09-01 15:15:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","5400 SANTA ANITA AVE","TEMPLE CITY","91780","6552493.34141485,1859704.46721926","913-08369-0525","0525","08369","CA0190005","TEMPLE","N"
16499923,"2013-09-01 15:22:30","064","BURGLARY, RESIDENCE: Day, Entry By Force","5400 SANTA ANITA AVE","TEMPLE CITY","91780","6552493.34141485,1859704.46721926","913-08370-0525","0525","08370","CA0190005","TEMPLE","N"
16500423,"2013-09-01 16:00:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","1500 CENTRAL AVE","SOUTH EL MONTE","91733","6547504.186195,1839009.34501321","913-08394-0561","0561","08394","CA0190005","TEMPLE","N"
16500565,"2013-09-01 16:30:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","1244 93RD ST","LOS ANGELES","90044","6471606.4784745,1805056.04572762","913-07620-0370","0370","07620","CA0190003","SOUTH LOS ANGELES","N"
16500038,"2013-09-01 17:00:00","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","17500 ELAINE AVE","ARTESIA",,"6538408.56479445,1775819.79935904","913-17057-1348","1348","17057","CA0190013","LAKEWOOD","N"
16499893,"2013-09-01 18:22:30","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","18000 W DANIELSON ST","CANYON COUNTRY",,"6425796.28852074,1971927.69809196","913-12078-0633","0633","12078","CA0190006","SANTA CLARITA VALLEY","N"
16499884,"2013-09-01 18:37:30","061","BURGLARY, RESIDENCE: Night, Entry by Force","1100 60TH ST","LOS ANGELES","90001","6484493.2579271,1817150.53132994","913-13527-2170","2170","13527","CA01900V3","CENTURY","N"
16500037,"2013-09-01 19:00:00","061","BURGLARY, RESIDENCE: Night, Entry by Force","1155 60TH ST","LOS ANGELES",,"6484346.96021714,1817153.32145549","913-13540-2170","2170","13540","CA01900V3","CENTURY","N"
16499921,"2013-09-01 20:30:00","061","BURGLARY, RESIDENCE: Night, Entry by Force","100 S RENNELL AVE","SAN DIMAS","91773","6612150.4166543,1860928.24364312","913-04330-0814","0814","04330","CA0190008","SAN DIMAS","N"
